id_sint,id_celda_real,constructo,cond,forma_gamma,mezcla,id_cond,modo,delta,rho,canal,k,estimador,n_replicas,tasa
0,0,E215C,10uM,1,equilibrada,1,limping,0.05,0,dwell_paso,8,plugin,500,0.04
0,0,E215C,10uM,1,equilibrada,1,limping,0.05,0,dwell_paso,8,mm,500,0.04
0,0,E215C,10uM,1,equilibrada,1,limping,0.05,0,dwell_paso,8,pt,500,0.04
0,0,E215C,10uM,1,equilibrada,1,limping,0.05,0,dwell_paso,8,nsb,500,0.04
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,evento,4,plugin,500,0.042
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,evento,4,mm,500,0.042
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,evento,4,pt,500,0.042
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,evento,4,nsb,500,0.04
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,evento,8,plugin,500,0.06
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,evento,8,mm,500,0.068
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,evento,8,pt,500,0.06
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,evento,8,nsb,500,0.046
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,dwell,4,plugin,500,0.05
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,dwell,4,mm,500,0.05
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,dwell,4,pt,500,0.05
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,dwell,4,nsb,500,0.05
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,dwell,8,plugin,500,0.044
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,dwell,8,mm,500,0.044
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,dwell,8,pt,500,0.044
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,dwell,8,nsb,500,0.044
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,paso,4,plugin,500,0.04
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,paso,4,mm,500,0.04
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,paso,4,pt,500,0.04
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,paso,4,nsb,500,0.042
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,paso,8,plugin,500,0.04
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,paso,8,mm,500,0.04
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,paso,8,pt,500,0.04
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,paso,8,nsb,500,0.042
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,dwell_paso,4,plugin,500,0.052
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,dwell_paso,4,mm,500,0.052
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,dwell_paso,4,pt,500,0.052
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,dwell_paso,4,nsb,500,0.052
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,dwell_paso,8,plugin,500,0.046
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,dwell_paso,8,mm,500,0.046
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,dwell_paso,8,pt,500,0.046
0,0,E215C,10uM,1,equilibrada,2,limping,0.1,0,dwell_paso,8,nsb,500,0.044
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,evento,4,plugin,500,0.06
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,evento,4,mm,500,0.06
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,evento,4,pt,500,0.06
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,evento,4,nsb,500,0.068
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,evento,8,plugin,500,0.044
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,evento,8,mm,500,0.044
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,evento,8,pt,500,0.044
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,evento,8,nsb,500,0.044
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,dwell,4,plugin,500,0.098
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,dwell,4,mm,500,0.098
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,dwell,4,pt,500,0.098
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,dwell,4,nsb,500,0.1
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,dwell,8,plugin,500,0.05
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,dwell,8,mm,500,0.05
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,dwell,8,pt,500,0.05
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,dwell,8,nsb,500,0.046
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,paso,4,plugin,500,0.056
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,paso,4,mm,500,0.056
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,paso,4,pt,500,0.056
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,paso,4,nsb,500,0.058
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,paso,8,plugin,500,0.056
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,paso,8,mm,500,0.056
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,paso,8,pt,500,0.056
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,paso,8,nsb,500,0.058
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,dwell_paso,4,plugin,500,0.06
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,dwell_paso,4,mm,500,0.06
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,dwell_paso,4,pt,500,0.06
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,dwell_paso,4,nsb,500,0.058
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,dwell_paso,8,plugin,500,0.056
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,dwell_paso,8,mm,500,0.056
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,dwell_paso,8,pt,500,0.056
0,0,E215C,10uM,1,equilibrada,3,limping,0.2,0,dwell_paso,8,nsb,500,0.054
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,evento,4,plugin,500,0.192
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,evento,4,mm,500,0.192
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,evento,4,pt,500,0.192
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,evento,4,nsb,500,0.198
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,evento,8,plugin,500,0.128
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,evento,8,mm,500,0.132
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,evento,8,pt,500,0.128
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,evento,8,nsb,500,0.116
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,dwell,4,plugin,500,0.616
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,dwell,4,mm,500,0.616
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,dwell,4,pt,500,0.616
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,dwell,4,nsb,500,0.614
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,dwell,8,plugin,500,0.378
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,dwell,8,mm,500,0.378
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,dwell,8,pt,500,0.378
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,dwell,8,nsb,500,0.38
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,paso,4,plugin,500,0.062
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,paso,4,mm,500,0.062
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,paso,4,pt,500,0.062
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,paso,4,nsb,500,0.058
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,paso,8,plugin,500,0.062
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,paso,8,mm,500,0.062
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,paso,8,pt,500,0.062
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,paso,8,nsb,500,0.058
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,dwell_paso,4,plugin,500,0.05
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,dwell_paso,4,mm,500,0.05
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,dwell_paso,4,pt,500,0.05
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,dwell_paso,4,nsb,500,0.052
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,dwell_paso,8,plugin,500,0.06
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,dwell_paso,8,mm,500,0.06
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,dwell_paso,8,pt,500,0.06
0,0,E215C,10uM,1,equilibrada,4,limping,0.35,0,dwell_paso,8,nsb,500,0.062
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,evento,4,plugin,500,0.84
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,evento,4,mm,500,0.842
